Tournament,year,month,day,City,Date_start_tournament,Prize,Surface,Indoor_flag,Currency,ID,pays
BNP Paribas Masters,2017,10,30,paris,30/10/2017,4273775,Hard,1,euro,66,france
Masters Cup,2017,11,12,londres,12/11/2017,9037488,Hard,1,$,300,uk
Brisbane International,2018,1,1,brisbane,31/12/2017,575328.6556,Hard,0,$,70,australia
Qatar Exxon Mobil Open,2018,1,1,doha,1/01/2018,1578684.605,Hard,0,$,3,qatar
Tata Open,2018,1,1,pune,1/01/2018,615124.7464,Hard,0,$,2,india
ASB Classic,2018,1,7,auckland,7/01/2018,615124.7464,Hard,0,$,4,new-zealand
Sydney International,2018,1,7,sydney,7/01/2018,575328.6556,Hard,0,$,5,australia
Australian Open,2018,1,15,melbourne,15/01/2018,38873503.23,Hard,0,AU$,6,australia
Ecuador Open,2018,2,5,quito,5/02/2018,615124.7464,Clay,0,$,78,ecuador
Garanti Koza Sofia Open,2018,2,5,sofia,5/02/2018,501345,Hard,1,euro,81,bulgaria
Open Sud de France,2018,2,5,montpellier,5/02/2018,501345,Hard,1,euro,201,france
ABN AMRO World Tennis Tournament,2018,2,12,rotterdam,12/02/2018,1862925,Hard,1,euro,11,dutchland
Argentina Open,2018,2,12,buenos aires,12/02/2018,697140.1523,Clay,0,$,90,argentina
New York Open,2018,2,12,long island,12/02/2018,820166.3285,Hard,1,$,105,usa
Delray Beach Open,2018,2,19,delray beach,19/02/2018,682195.9135,Hard,0,$,15,usa
Open 13,2018,2,19,marseille,19/02/2018,645485,Hard,1,euro,8,france
Rio Open,2018,2,19,rio de janeiro,19/02/2018,2080690.788,Clay,0,$,79,brasil
Abierto Mexicano,2018,2,26,acapulco,26/02/2018,2015625.682,Hard,0,$,87,mexico
Brasil Open,2018,2,26,são paulo,26/02/2018,633357.2085,Clay,0,$,93,brasil
Dubai Tennis Championships,2018,2,26,dubaï,26/02/2018,3218882.297,Hard,0,$,7,united arab emirates
BNP Paribas Open,2018,3,8,indian wells,8/03/2018,9781893.846,Hard,0,$,19,usa
Sony Ericsson Open,2018,3,21,miami,21/03/2018,9781893.846,Hard,0,$,20,usa
Grand Prix Hassan II,2018,4,9,marrakech,9/04/2018,501345,Clay,0,euro,22,tunisia
U.S. Men's Clay Court Championships,2018,4,9,houston,9/04/2018,683471.9405,Clay,0,$,99,usa
Monte Carlo Masters,2018,4,15,monte-carlo,15/04/2018,4872105,Clay,0,euro,24,monaco
Gazprom Hungarian Open,2018,4,23,budapest,23/04/2018,501345,Clay,0,euro,53,romania
Open Banco Sabadell ,2018,4,23,barcelone,23/04/2018,2510900,Clay,0,euro,25,spain
Mutua Madrid Open,2018,5,6,madrid,6/05/2018,6200860,Clay,0,euro,107,spain
Internazionali BNL d'Italia,2018,5,13,rome,13/05/2018,4872105,Clay,0,euro,29,italy
Geneva Open,2018,5,20,genève,20/05/2018,501345,Clay,0,euro,98,switzerland
Lyon Open,2018,5,20,lyon,20/05/2018,501345,Clay,0,euro,64,france
French Open,2018,5,27,paris,27/05/2018,0,Clay,0,euro,32,france
BMW Open,2018,5,30,munich,30/04/2018,501345,Clay,0,euro,27,germany
Istanbul Open,2018,5,30,istanbul,30/04/2018,426145,Clay,0,euro,100,turkey
Millenium Estoril Open,2018,5,30,estoril,30/04/2018,501345,Clay,0,euro,23,portugal
Mercedes Cup,2018,6,11,stuttgart,11/06/2018,656015,Grass,0,euro,42,germany
Ricoh Open,2018,6,11,bois-le-duc,11/06/2018,612755,Grass,0,euro,36,dutchland
AEGON Championships,2018,6,18,londres,18/06/2018,1983595,Grass,0,euro,34,uk
Gerry Weber Open,2018,6,18,halle (westf.),18/06/2018,1983595,Grass,0,euro,33,germany
Antalya Open,2018,6,24,antalya,24/06/2018,426145,Grass,0,euro,271,turkey
AEGON International,2018,6,25,eastbourne,25/06/2018,661085,Grass,0,euro,95,uk
Wimbledon,2018,7,2,wimbledon,2/07/2018,0,Grass,0,£,37,uk
Croatia Open,2018,7,16,umag,16/07/2018,501345,Clay,0,euro,43,croatia
Hall of Fame Championships,2018,7,16,newport,16/07/2018,683471.9405,Grass,0,$,40,usa
SkiStar Swedish Open,2018,7,16,båstad,16/07/2018,501345,Clay,0,euro,38,sweden
BB&T Atlanta Open,2018,7,23,atlanta,23/07/2018,820166.3285,Hard,0,$,21,usa
German Tennis Championships,2018,7,23,hambourg,23/07/2018,1619935,Clay,0,euro,30,germany
Suisse Open Gstaad,2018,7,23,gstaad,23/07/2018,501345,Clay,0,euro,39,switzerland
Citi Open,2018,7,30,washington,30/07/2018,2319136.057,Hard,0,$,50,usa
Generali Open,2018,7,30,kitzbühel,30/07/2018,501345,Clay,0,euro,44,austria
Rogers Masters,2018,8,6,toronto,6/08/2018,6521264.609,Hard,0,$,202,canada
Western & Southern Financial Group Masters,2018,8,12,cincinnati,12/08/2018,6956015.583,Hard,0,$,48,usa
Winston-Salem Open at Wake Forest University,2018,8,19,winston-salem,19/08/2018,848330.9428,Hard,0,$,120,usa
US Open,2018,8,27,flushing meadows,27/08/2018,0,Hard,0,$,52,usa
Abierto Mexicano Mifel,2018,8,30,cabo san lucas,30/07/2018,877826.7968,Hard,0,$,287,mexico
Open de Moselle,2018,9,17,metz,17/09/2018,501345,Hard,1,euro,230,france
St. Petersburg Open,2018,9,17,saint-pétersbourg,17/09/2018,1330564.843,Hard,1,$,65,russia
Chengdu Open,2018,9,24,chengdu,24/09/2018,1312884.508,Hard,0,$,91,china
Shenzhen Open,2018,9,24,shenzhen,24/09/2018,900157.2686,Hard,0,$,80,china
China Open,2018,10,1,pékin,1/10/2018,4173908.725,Hard,0,$,76,china
Rakuten Japan Open Tennis Championships,2018,10,1,tokyo,1/10/2018,2186337.232,Hard,0,$,57,japan
Shanghai Masters,2018,10,7,shanghai,7/10/2018,8695019.478,Hard,0,$,59,china
European Open,2018,10,15,anvers,15/10/2018,612755,Hard,1,euro,272,belgium
Kremlin Cup,2018,10,15,moscou,15/10/2018,1119811.813,Hard,1,$,62,russia
Stockholm Open,2018,10,15,stockholm,15/10/2018,612755,Hard,1,euro,68,sweden
Erste Bank Open,2018,10,22,vienne,22/10/2018,2198250,Hard,1,euro,58,austria
Swiss Indoors,2018,10,22,bâle,22/10/2018,1984420,Hard,1,euro,61,switzerland
BNP Paribas Masters,2018,10,29,paris,29/10/2018,4872105,Hard,1,euro,66,france
Masters Cup,2018,11,11,londres,11/11/2018,10429066.5,Hard,1,$,300,uk
