Tournament,year,month,day,City,Date,Prize,Surface,Indoor_flag,Currency
Croatia Open,2004,7,19,umag,19/07/2004,466478.625,Terre,0,$
Toronto TMS,2004,7,26,toronto,26/08/2004,3189469.852,Dur,0,$
Western & Southern Financial Group Masters,2004,8,2,cincinnati,2/08/2004,2736674.6,Dur,0,$
Idea Prokom Open,2004,8,9,sopot,9/08/2004,590872.925,Terre,0,$
Legg Mason Classic,2004,8,16,washington,16/08/2004,590872.925,Dur,0,$
TD Waterhouse Cup,2004,8,23,long island,23/08/2004,441599.765,Dur,0,$
US Open,2004,8,30,flushing meadows,30/08/2004,9573385.328,Dur,0,$
China Open,2004,9,13,pékin,13/09/2004,590872.925,Dur,0,$
Open Romania,2004,9,13,bucarest,13/09/2004,441599.765,Terre,0,$
International Championships,2004,9,13,delray beach,13/09/2004,441599.765,Dur,0,$
Thailand Open,2004,9,27,bangkok,27/09/2004,653070.075,Dur,1,$
Campionati Internazionali Di Sicilia,2004,9,27,palerme,27/09/2004,441599.765,Terre,0,$
Grand Prix de Lyon,2004,10,4,lyon,4/10/2004,954104.281,Moquette,1,$
Japan Open,2004,10,4,tokyo,4/10/2004,827222.095,Dur,0,$
Open de Moselle,2004,10,11,metz,11/10/2004,441599.765,Dur,1,$
Kremlin Cup,2004,10,11,moscou,11/10/2004,1212844.425,Moquette,1,$
CA Tennis Trophy,2004,10,11,vienne,11/10/2004,818514.494,Dur,1,$
Madrid Masters,2004,10,18,madrid,18/10/2004,2736674.6,Dur,1,$
Swiss Indoors,2004,10,26,bâle,25/10/2004,1212844.425,Moquette,1,$
St. Petersburg Open,2004,10,25,saint-pétersbourg,25/10/2004,1212844.425,Moquette,1,$
Stockholm Open,2004,10,25,stockholm,25/10/2004,777464.375,Dur,1,$
